Age,Gender,Student_Working_Status,Daily_Social_Media_Hours,Screen_Time_Hours,Night_Scrolling_Frequency,Online_Gaming_Hours,Content_Type_Preference,Exercise_Frequency_per_Week,Daily_Sleep_Hours,Caffeine_Intake_Cups,Study_Work_Hours_per_Day,Overthinking_Score,Anxiety_Score,Mood_Stability_Score,Social_Comparison_Index,Sleep_Quality_Score,Motivation_Level,Emotional_Fatigue_Score,Wellbeing_Index,Burnout_Risk,Sleep_Efficiency,Screen_Time_Ratio,Wellbeing_Balance
20,Non-binary,Working,3.99,8.69,4.11,0.0,Lifestyle,0.0,7.32,0.71,5.73,5.21,4.87,4.65,4.29,6.37,3.01,8.29,2.48,High,0.765625,0.5209832134292566,-5.279999999999999
23,Male,Student,3.79,6.9,3.18,0.0,Lifestyle,2.98,6.45,1.59,6.55,5.08,5.69,3.0,3.12,6.46,5.68,5.16,3.24,High,0.8671140939597315,0.39316239316239315,0.5199999999999996
22,Male,Student,3.73,5.43,3.13,0.56,News,2.44,5.9,3.19,7.42,4.44,5.15,5.27,3.23,5.73,4.87,4.51,3.68,High,0.8304347826086956,0.29999999999999993,0.3600000000000003
19,Female,Student,4.52,9.82,1.84,1.2,News,4.77,4.08,3.4,4.05,6.07,6.29,4.85,4.29,4.26,3.94,8.28,1.92,High,0.8385826771653543,0.49297188755020077,-4.34
25,Male,Working,4.18,7.7,1.88,4.27,Gaming,3.75,7.33,0.0,9.63,4.11,3.48,4.81,4.45,8.05,4.1,4.63,4.3,Medium,0.9663865546218489,0.4619076184763047,-0.5300000000000002
23,Male,Student,3.31,5.94,3.6,2.57,Educational,1.72,7.92,1.28,2.8,5.45,4.88,5.31,3.44,8.16,5.55,5.27,4.65,Medium,0.9147982062780269,0.36940298507462693,0.28000000000000025
19,Female,Student,4.02,8.53,2.57,1.88,Entertainment,2.69,6.59,0.73,5.28,3.33,2.74,7.57,5.21,7.26,5.68,5.92,5.39,Medium,0.9565217391304348,0.4899483055715106,-0.2400000000000002
22,Non-binary,Student,2.97,4.97,3.88,1.22,Lifestyle,4.25,4.98,0.84,6.91,6.55,7.23,1.94,4.09,4.08,5.05,7.55,1.23,High,0.6822742474916388,0.26130389064143006,-2.5
18,Female,Student,3.27,4.2,4.14,1.36,Lifestyle,2.98,7.83,1.27,1.87,5.33,3.79,5.53,2.72,7.8,7.45,3.13,5.77,Medium,0.883352208380521,0.2597402597402597,4.32
23,Male,Working,0.5,2.85,1.37,2.84,News,0.0,7.93,0.74,2.52,3.33,3.76,4.88,1.24,8.06,5.66,6.16,4.55,Medium,0.9025755879059352,0.17734909769757312,-0.5
26,Male,Working,2.75,6.47,2.14,3.29,News,2.83,6.87,2.09,5.11,5.13,3.33,4.97,6.19,6.3,3.33,4.48,3.56,High,0.8005082592121981,0.37769994162288384,-1.1500000000000004
18,Male,Both,5.22,10.5,2.06,0.39,News,0.21,7.25,3.14,6.39,5.03,4.23,5.57,6.24,8.09,5.53,6.59,4.59,Medium,0.9806060606060606,0.6268656716417911,-1.0599999999999996
20,Female,Student,4.94,7.23,4.82,2.12,Entertainment,2.69,8.23,3.1,5.5,6.14,3.07,6.37,5.38,9.46,6.17,5.36,5.93,Medium,1.0249187432286024,0.4584654407102093,0.8099999999999996
24,Female,Student,5.1,6.93,2.83,1.74,Lifestyle,5.07,7.27,0.71,3.37,5.62,4.29,5.66,3.89,6.72,4.82,4.32,4.3,Medium,0.8125755743651754,0.4142259414225941,0.5
21,Female,Student,4.64,7.67,3.42,3.12,Entertainment,3.32,7.48,1.36,4.83,4.97,4.54,5.86,3.98,7.28,6.97,7.33,4.73,Medium,0.8584905660377359,0.4642857142857143,-0.3600000000000003
26,Male,Student,3.27,6.26,2.05,3.67,Educational,3.1,8.43,3.09,6.11,4.39,3.36,6.11,3.75,8.63,6.34,4.81,5.66,Medium,0.9151643690349948,0.4020552344251766,1.5300000000000002
20,Female,Student,2.1,6.99,3.07,2.04,Entertainment,1.64,6.98,1.98,10.16,3.92,3.95,6.49,3.85,7.49,4.73,5.24,4.7,Medium,0.9385964912280702,0.41069330199764986,-0.5099999999999998
22,Male,Working,3.52,6.78,2.32,1.25,Gaming,2.86,5.19,2.78,4.05,6.19,5.15,4.48,5.36,4.91,4.16,4.65,2.88,High,0.7932148626817447,0.3604465709728868,-0.4900000000000002
20,Male,Student,0.5,5.61,0.84,0.0,Lifestyle,2.19,9.77,2.13,5.65,2.37,1.49,8.18,1.79,9.41,6.05,3.28,7.09,Low,0.8737233054781802,0.3942375263527758,2.77
24,Female,Student,5.71,10.09,2.28,0.0,Entertainment,4.13,8.04,2.52,3.82,3.77,4.36,4.62,6.3,8.42,3.95,7.3,3.72,High,0.9314159292035399,0.6322055137844611,-3.3499999999999996
22,Male,Student,4.31,8.23,3.28,1.82,Lifestyle,2.58,7.89,1.01,5.22,4.23,2.27,5.07,6.33,6.3,5.84,4.02,4.69,Medium,0.7086614173228346,0.510862818125388,1.8200000000000003
26,Female,Working,5.28,6.82,7.0,3.29,News,3.57,6.01,0.86,6.46,8.18,8.08,3.81,5.74,5.46,4.87,7.21,2.16,High,0.7788873038516405,0.3790994997220678,-2.34
24,Female,Student,3.23,5.84,1.45,4.04,Entertainment,2.83,6.76,0.0,3.08,4.11,4.78,5.21,2.95,8.15,6.38,5.82,4.81,Medium,1.050257731958763,0.3387470997679814,0.5599999999999996
19,Non-binary,Student,1.59,4.85,2.88,0.0,Lifestyle,3.12,4.82,0.32,9.0,4.22,5.39,3.48,2.71,3.31,4.4,5.88,1.85,High,0.5687285223367697,0.25286757038581853,-1.4799999999999995
21,Female,Both,4.28,4.66,3.3,0.83,Entertainment,2.47,6.07,1.13,1.84,4.88,5.82,6.21,4.21,5.92,4.47,5.81,3.59,High,0.8373408769448373,0.2598996095928611,-1.3399999999999999
26,Female,Working,4.26,6.59,3.99,1.85,Entertainment,2.42,6.13,0.0,4.53,5.63,5.85,2.8,5.16,5.33,3.16,6.12,1.77,High,0.7475455820476858,0.3687744823726916,-2.96
19,Female,Student,3.79,6.47,2.55,2.81,Entertainment,2.97,5.99,2.39,6.36,4.53,3.95,6.75,3.64,5.25,5.32,7.07,3.94,High,0.7510729613733905,0.3592448639644642,-1.75
26,Male,Student,4.43,6.64,2.32,0.9,Gaming,2.1,4.74,1.55,4.46,3.75,4.01,7.52,7.04,5.25,3.96,4.22,4.21,Medium,0.9146341463414633,0.34475597092419524,-0.2599999999999998
22,Male,Student,3.28,8.4,3.9,1.05,Gaming,5.14,4.88,1.21,8.35,5.11,5.17,7.35,2.44,4.27,3.76,3.76,3.64,High,0.7261904761904762,0.4393305439330544,0.0
19,Female,Working,4.3,7.79,3.86,1.75,Entertainment,0.39,7.31,1.37,5.48,5.41,4.51,6.17,4.04,7.74,5.48,6.58,4.61,Medium,0.9314079422382673,0.4667465548232474,-1.0999999999999996
21,Female,Working,4.7,7.5,4.05,0.0,Entertainment,4.25,6.94,2.63,7.09,4.53,5.95,5.34,5.04,6.71,3.71,6.06,3.25,High,0.8450881612090679,0.4396248534583822,-2.3499999999999996
24,Female,Student,6.51,7.67,3.82,0.91,Lifestyle,5.48,8.0,0.52,9.19,4.87,3.66,7.24,4.22,9.14,7.23,1.48,7.01,Low,1.0155555555555555,0.479375,5.75
25,Male,Working,5.15,7.62,1.1,0.84,News,2.37,5.46,0.29,5.82,4.25,6.4,3.7,5.23,5.94,5.15,5.3,2.98,High,0.9195046439628484,0.4110032362459547,-0.14999999999999947
20,Male,Student,2.14,6.74,3.88,2.04,Educational,2.67,7.06,1.03,2.8,5.0,3.2,4.95,1.68,7.71,4.63,3.93,4.57,Medium,0.9565756823821342,0.39787485242030696,0.6999999999999997
18,Male,Working,3.42,5.81,3.18,2.16,News,1.64,6.42,2.99,5.23,3.0,3.98,7.39,4.62,5.17,4.24,4.55,4.18,Medium,0.6967654986522911,0.3304891922639363,-0.3099999999999996
21,Female,Student,2.72,5.32,0.32,0.53,Lifestyle,4.65,6.54,0.73,6.56,3.09,2.17,5.86,4.29,7.27,6.83,3.77,5.66,Medium,0.9641909814323607,0.30469644902634596,3.06
19,Female,Student,6.06,7.76,3.73,1.48,Gaming,4.22,5.65,1.78,5.45,3.64,1.96,8.07,5.62,5.02,5.24,4.59,5.01,Medium,0.7548872180451127,0.42288828337874657,0.6500000000000004
25,Female,Working,3.26,6.43,2.48,1.6,Lifestyle,1.38,4.31,0.92,5.25,5.58,8.08,4.08,3.19,4.54,3.42,7.85,1.36,High,0.8549905838041432,0.32656170644997456,-4.43
21,Male,Student,3.6,6.92,4.22,1.07,Lifestyle,0.9,6.66,0.0,6.05,5.94,5.96,2.96,3.71,5.13,4.9,6.52,2.25,High,0.6697127937336814,0.3990772779700115,-1.6199999999999992
19,Male,Both,3.83,7.02,2.72,3.03,Educational,2.59,5.44,0.41,8.03,4.21,5.23,6.46,6.29,5.41,3.94,6.89,3.25,High,0.8400621118012422,0.37823275862068967,-2.9499999999999997
23,Female,Student,4.6,6.43,3.69,1.23,News,4.03,5.45,0.41,8.19,5.56,7.35,2.85,3.66,5.97,5.09,6.87,2.27,High,0.9255813953488371,0.3466307277628032,-1.7800000000000002
23,Female,Student,2.22,5.73,3.58,4.71,Gaming,3.9,6.04,1.76,5.94,3.93,5.59,4.09,3.56,5.58,5.36,4.97,3.25,High,0.7926136363636364,0.3190423162583519,0.39000000000000057
21,Female,Working,3.98,6.57,1.72,0.29,Lifestyle,2.97,7.24,2.29,7.34,4.89,5.86,3.18,3.36,6.84,4.37,4.04,3.15,High,0.8300970873786407,0.3920047732696898,0.33000000000000007
23,Female,Student,5.41,8.65,4.6,2.63,Educational,3.5,4.51,0.0,5.93,5.46,6.6,2.67,5.03,5.24,4.64,6.23,2.05,High,0.9509981851179674,0.44381734222678293,-1.5900000000000007
19,Male,Student,3.51,7.3,2.02,3.14,Lifestyle,3.03,6.3,1.4,6.38,6.42,6.88,2.62,1.52,3.2,4.36,6.51,1.16,High,0.4383561643835617,0.4124293785310735,-2.1499999999999995
19,Female,Student,6.74,10.16,1.9,0.0,Lifestyle,2.18,4.66,1.32,9.36,4.83,4.68,6.11,6.13,4.35,4.65,5.42,3.36,High,0.7685512367491165,0.5253360910031024,-0.7699999999999996
21,Female,Both,2.67,6.33,4.21,2.26,News,3.18,7.6,3.56,3.98,4.88,3.2,7.62,4.45,9.39,5.6,3.45,6.43,Medium,1.091860465116279,0.3859756097560976,2.1499999999999995
25,Female,Working,3.24,6.93,3.21,3.58,News,1.73,8.37,1.47,7.47,4.74,4.15,3.47,2.41,9.42,6.9,5.46,5.0,Medium,1.0053361792956244,0.44337811900191937,1.4400000000000004
24,Female,Student,5.16,9.04,5.62,2.39,Educational,4.62,7.42,2.49,5.11,5.35,5.82,4.62,6.06,9.35,5.76,5.34,4.72,Medium,1.1104513064133017,0.5452352231604343,0.41999999999999993
26,Female,Student,4.05,8.02,1.65,0.0,Lifestyle,2.26,7.77,0.02,7.4,2.59,2.86,6.37,6.51,7.25,5.96,3.74,5.43,Medium,0.8266818700114026,0.4941466420209488,2.2199999999999998
25,Female,Student,3.66,7.86,3.81,2.75,Lifestyle,2.32,9.75,1.08,8.07,4.44,4.56,4.17,4.62,9.67,8.49,6.06,5.67,Medium,0.8995348837209303,0.5515789473684211,2.4300000000000006
22,Female,Student,2.32,5.76,3.53,2.22,Lifestyle,0.24,3.92,0.0,8.83,5.79,3.11,6.59,4.01,4.92,4.01,5.53,3.73,High,1.0,0.2868525896414343,-1.5200000000000005
19,Female,Both,3.13,6.97,4.52,2.27,Entertainment,2.27,6.77,1.02,6.79,4.26,5.15,6.65,4.07,5.46,5.54,6.48,3.94,High,0.7027027027027027,0.40452698781195584,-0.9400000000000004
22,Female,Working,6.75,9.92,4.75,1.1,Entertainment,3.12,6.35,1.42,6.33,5.55,6.48,4.13,6.53,6.18,4.41,5.46,2.91,High,0.8408163265306122,0.5620396600566573,-1.0499999999999998
25,Male,Student,4.48,8.17,3.9,0.04,Lifestyle,0.58,7.01,0.0,5.5,5.31,4.73,5.63,5.15,8.2,4.38,6.45,4.21,Medium,1.023720349563046,0.4808711006474396,-2.0700000000000003
26,Non-binary,Student,4.86,7.41,3.63,3.98,News,4.69,5.85,2.35,1.0,7.01,6.56,4.53,3.3,5.71,3.21,6.06,2.38,High,0.8335766423357664,0.4082644628099174,-2.8499999999999996
26,Female,Both,3.06,4.3,3.0,3.37,Educational,1.41,6.84,2.05,7.37,6.29,4.42,3.39,4.49,7.71,5.93,3.96,4.28,Medium,0.9834183673469388,0.2505827505827506,1.9699999999999998
18,Male,Student,4.29,8.74,3.03,3.38,News,3.12,7.28,2.37,6.72,5.05,3.4,4.61,5.09,7.03,6.45,3.9,4.81,Medium,0.8490338164251207,0.5227272727272728,2.5500000000000003
26,Female,Both,3.59,6.78,4.08,1.15,Educational,4.34,7.12,1.69,4.23,5.33,5.94,4.3,4.04,7.0,5.24,5.53,3.6,High,0.8620689655172413,0.40165876777251186,-0.29000000000000004
24,Male,Student,2.13,5.3,3.71,1.88,Gaming,0.31,4.69,0.4,7.99,2.11,3.71,6.27,2.42,4.1,4.33,5.34,3.39,High,0.7205623901581721,0.27446918694976696,-1.0099999999999998
26,Male,Working,2.9,6.8,3.7,2.45,Lifestyle,1.24,7.57,2.4,6.04,4.34,6.39,4.27,4.37,7.86,5.11,7.09,3.5,High,0.9171528588098017,0.4138770541692027,-1.9799999999999995
25,Male,Working,3.22,5.56,2.91,1.86,Lifestyle,3.37,5.73,0.56,7.93,5.54,4.58,6.22,3.42,5.07,3.6,6.74,3.08,High,0.7533432392273403,0.3043240284619595,-3.14
18,Female,Working,7.14,10.04,1.35,1.69,Entertainment,3.88,5.91,0.0,5.08,5.16,3.4,6.22,6.09,6.18,5.4,5.16,4.5,Medium,0.894356005788712,0.5550027639579878,0.2400000000000002
25,Female,Student,6.81,9.22,2.24,2.73,Gaming,0.0,5.81,1.01,4.37,5.96,4.6,5.97,5.47,6.17,2.48,7.71,2.82,High,0.9060205580029369,0.5068719076415613,-5.23
25,Female,Student,1.49,4.3,2.32,0.42,Entertainment,3.27,7.24,1.26,4.95,4.56,3.67,5.62,3.23,7.08,6.88,3.98,5.25,Medium,0.8592233009708737,0.256563245823389,2.9
20,Female,Student,2.76,5.37,3.29,3.77,News,1.87,4.66,1.64,9.13,4.98,4.55,5.08,2.85,4.2,4.24,5.27,2.87,High,0.7420494699646644,0.2776628748707342,-1.0299999999999994
18,Male,Both,3.73,6.17,4.32,1.58,Entertainment,3.14,7.98,0.56,2.43,4.57,3.85,5.21,1.64,8.08,5.88,4.4,5.01,Medium,0.8997772828507795,0.38514357053682896,1.4799999999999995
25,Male,Student,4.04,7.43,2.91,0.33,Educational,2.91,9.15,3.04,5.01,5.3,2.96,3.07,4.85,8.42,8.62,5.39,5.31,Medium,0.8295566502463054,0.5003367003367003,3.2299999999999995
20,Male,Both,3.8,4.94,1.96,0.21,Lifestyle,4.29,6.36,1.98,6.03,6.15,6.75,4.6,2.82,6.55,5.84,8.39,3.14,High,0.889945652173913,0.2800453514739229,-2.5500000000000007
20,Female,Working,6.77,11.09,0.85,0.0,News,1.96,5.11,2.17,6.73,3.18,4.16,5.5,5.01,4.84,5.41,6.51,3.47,High,0.7921440261865793,0.587083112758073,-1.0999999999999996
18,Non-binary,Student,3.29,5.58,2.48,2.32,Gaming,5.61,4.44,2.58,6.52,4.27,4.92,7.14,4.27,4.54,5.78,3.98,4.34,Medium,0.8345588235294117,0.2852760736196319,1.8000000000000003
22,Female,Both,6.72,10.21,1.83,0.36,Lifestyle,4.16,6.33,1.79,7.98,4.07,5.0,4.99,5.91,6.38,5.58,7.9,3.5,High,0.8703956343792633,0.577815506508206,-2.3200000000000003
24,Female,Working,5.44,8.99,3.99,1.66,News,2.38,5.91,1.81,6.3,7.35,6.18,4.61,4.4,6.16,3.74,7.85,2.5,High,0.8914616497829233,0.49695964621337757,-4.109999999999999
26,Non-binary,Student,3.91,6.61,3.83,1.87,Gaming,1.77,7.48,1.32,3.36,5.56,3.05,6.51,4.26,6.69,4.74,6.59,4.38,Medium,0.7889150943396227,0.4001210653753027,-1.8499999999999996
24,Male,Student,3.03,6.47,2.07,0.0,Educational,4.13,7.79,1.35,8.04,3.88,2.91,6.47,5.56,6.25,5.58,3.45,5.04,Medium,0.7110352673492606,0.3991363355953115,2.13
26,Female,Working,3.01,4.93,3.41,1.11,Educational,3.06,4.84,2.11,6.66,4.79,4.25,5.54,3.53,4.92,4.05,2.98,3.63,High,0.8424657534246576,0.25730688935281837,1.0699999999999998
25,Female,Working,6.91,9.37,3.12,4.54,Gaming,4.37,6.24,0.26,5.57,6.89,6.56,4.77,7.33,6.39,4.26,8.06,2.7,High,0.8825966850828728,0.5275900900900901,-3.8000000000000007
19,Female,Working,5.08,7.84,1.77,2.52,Lifestyle,3.47,5.53,0.48,10.24,4.76,7.2,3.35,5.32,5.67,1.56,7.54,1.07,High,0.8683001531393568,0.4244721169463996,-5.98
18,Male,Working,4.44,7.9,3.46,1.93,Educational,0.0,6.81,3.6,3.99,6.01,4.92,5.58,5.54,5.97,4.57,5.98,3.55,High,0.764404609475032,0.4595695171611402,-1.4100000000000001
24,Female,Student,0.71,3.37,3.09,0.94,News,2.42,3.54,1.25,6.57,4.52,6.61,2.18,2.14,3.3,3.69,6.23,1.0,High,0.7268722466960352,0.16471163245356793,-2.5400000000000005
24,Female,Working,3.26,6.1,3.99,0.0,Lifestyle,3.08,4.74,4.79,6.37,7.35,6.67,4.51,4.51,4.25,4.17,5.96,2.21,High,0.740418118466899,0.31671858774662515,-1.79
25,Male,Student,3.45,7.27,2.88,1.65,Gaming,0.32,5.88,2.3,2.76,6.99,6.04,3.68,6.01,6.79,6.68,7.98,3.38,High,0.9869186046511628,0.40121412803532003,-1.3000000000000007
22,Female,Student,4.33,7.72,4.74,1.83,Educational,4.45,7.26,2.05,3.73,6.99,6.36,4.81,4.32,6.83,5.36,5.4,3.71,High,0.8268765133171914,0.4611708482676224,-0.040000000000000036
20,Male,Student,3.79,9.13,2.31,0.03,Educational,2.42,5.68,0.69,6.31,3.75,3.59,6.03,4.44,4.8,5.89,6.7,3.86,High,0.718562874251497,0.4983624454148472,-0.8100000000000005
25,Female,Student,3.42,5.52,1.33,0.17,Entertainment,0.99,7.68,1.21,6.43,3.33,2.5,5.65,3.35,6.73,6.43,3.31,5.3,Medium,0.7753456221198157,0.338235294117647,3.1199999999999997
23,Female,Student,4.48,6.2,3.25,0.7,Entertainment,2.04,5.08,0.0,6.86,5.17,6.1,1.84,3.32,5.48,2.65,6.8,1.17,High,0.9013157894736843,0.3276955602536998,-4.15
20,Female,Student,5.35,10.26,4.44,1.83,Lifestyle,2.34,6.29,1.59,5.78,6.0,5.32,4.97,4.12,5.6,4.86,8.71,2.8,High,0.7681755829903978,0.5793337097684923,-3.8500000000000005
18,Male,Student,3.1,6.37,1.67,0.0,Lifestyle,3.48,5.59,0.69,5.24,4.43,5.23,4.57,4.22,5.44,4.48,4.97,3.13,High,0.8254931714719272,0.34600760456273766,-0.4899999999999993
20,Male,Student,2.51,6.85,2.69,0.0,Gaming,4.4,7.84,1.03,8.0,4.75,4.84,5.87,4.44,8.1,7.02,5.63,5.25,Medium,0.916289592760181,0.4238861386138614,1.3899999999999997
22,Male,Working,3.16,5.15,3.71,2.58,Gaming,0.56,8.3,0.93,1.0,6.31,3.57,6.27,3.74,7.97,5.23,6.37,4.83,Medium,0.8569892473118279,0.3280254777070064,-1.1399999999999997
20,Male,Student,2.56,5.07,0.35,0.7,Gaming,3.78,7.54,0.39,8.29,4.42,2.95,6.77,3.21,7.97,4.67,2.53,5.56,Medium,0.9332552693208431,0.3080194410692588,2.14
18,Male,Student,3.6,6.73,5.64,3.39,Entertainment,1.26,8.14,0.0,4.1,5.53,6.42,2.16,5.08,9.56,4.85,7.25,3.24,High,1.0459518599562363,0.4243379571248424,-2.4000000000000004
22,Female,Working,7.01,10.01,3.33,0.0,Educational,3.38,6.34,1.37,4.78,6.13,5.87,4.21,5.63,6.76,5.51,7.49,3.27,High,0.9209809264305177,0.5668176670441676,-1.9800000000000004
24,Male,Student,3.49,6.41,2.5,1.23,Educational,0.66,5.42,1.34,6.12,6.68,7.34,2.73,4.15,5.58,2.31,6.76,1.19,High,0.8691588785046729,0.344994617868676,-4.449999999999999
24,Female,Student,2.35,3.77,4.02,3.19,Gaming,4.43,5.96,0.0,5.54,6.86,8.02,3.34,5.87,5.72,3.83,5.81,1.99,High,0.82183908045977,0.208980044345898,-1.9799999999999995
26,Male,Both,3.34,6.22,3.05,3.32,Entertainment,4.03,5.08,0.92,4.86,4.78,6.04,4.67,6.84,4.53,3.61,5.2,2.4,High,0.7450657894736843,0.328752642706131,-1.5900000000000003
20,Female,Student,6.34,9.68,2.38,1.6,Gaming,3.92,6.94,1.12,8.59,5.28,1.93,4.58,6.98,5.8,5.4,3.52,4.35,Medium,0.7304785894206548,0.567409144196952,1.8800000000000003
24,Female,Student,3.58,6.25,3.93,0.0,News,4.0,5.95,1.89,8.65,4.66,6.09,3.42,4.52,6.52,4.92,4.99,3.1,High,0.9381294964028776,0.3462603878116343,-0.07000000000000028
18,Female,Working,2.79,6.77,3.46,0.0,Lifestyle,2.51,5.3,0.83,11.3,3.8,3.61,4.7,5.09,5.81,6.0,4.22,4.2,Medium,0.9222222222222222,0.3620320855614973,1.7800000000000002
21,Non-binary,Working,1.4,5.39,0.69,1.35,Entertainment,3.34,6.54,1.88,6.93,3.42,4.65,5.99,1.0,6.71,4.78,5.8,4.09,Medium,0.889920424403183,0.3087056128293241,-1.0199999999999996
21,Male,Working,3.5,6.72,2.57,2.85,Educational,2.57,4.04,2.41,5.38,2.91,4.02,6.07,3.59,4.65,4.08,6.0,3.26,High,0.9226190476190477,0.3366733466933867,-1.92
22,Male,Student,1.83,4.1,2.35,0.31,News,5.84,6.8,0.62,6.47,3.26,3.06,5.89,3.28,5.74,6.28,2.46,5.05,Medium,0.735897435897436,0.2383720930232558,3.8200000000000003
24,Male,Working,4.32,7.68,2.58,2.63,Lifestyle,5.73,4.46,0.35,9.83,4.4,6.31,2.14,3.06,4.55,4.82,7.68,1.51,High,0.8333333333333333,0.3930399181166837,-2.8599999999999994
24,Male,Working,3.37,6.87,3.39,0.0,Lifestyle,1.89,6.51,0.26,6.47,5.55,5.2,3.45,3.76,7.48,4.2,5.67,3.23,High,0.9960053262316911,0.39279588336192106,-1.4699999999999998
21,Female,Student,0.86,3.96,0.34,1.54,Lifestyle,6.4,6.76,1.99,4.95,4.14,4.07,4.53,2.04,6.57,5.19,1.72,4.46,Medium,0.8466494845360826,0.22969837587006958,3.4700000000000006
24,Female,Student,6.5,8.75,4.16,2.75,Entertainment,4.6,5.19,1.15,5.05,6.61,4.67,2.84,6.24,5.13,5.25,6.85,2.48,High,0.8287560581583198,0.46517809675704413,-1.5999999999999996
20,Female,Working,7.21,11.05,2.34,2.95,Entertainment,5.85,6.06,1.08,5.85,5.57,5.1,3.88,6.61,5.75,7.09,5.52,3.8,High,0.8144475920679887,0.6159420289855072,1.5700000000000003
23,Male,Student,4.39,7.81,3.92,1.9,Entertainment,0.99,6.64,1.63,5.28,5.15,7.32,2.95,3.17,6.34,2.97,7.28,1.65,High,0.8298429319371728,0.4498847926267281,-4.3100000000000005
19,Non-binary,Student,6.3,8.91,2.33,0.83,Educational,1.16,5.21,0.0,4.88,5.45,6.68,3.9,5.86,5.69,2.67,7.83,1.67,High,0.9162640901771337,0.4741883980840873,-5.16
26,Non-binary,Student,4.34,7.5,2.62,0.48,Educational,4.95,7.22,2.01,4.07,4.72,3.23,5.78,7.26,8.48,8.3,4.44,6.24,Medium,1.031630170316302,0.4469606674612634,3.8600000000000003
22,Male,Student,1.08,3.16,5.26,0.0,Educational,0.51,8.48,1.0,7.53,6.94,4.97,5.67,3.6,8.02,3.87,2.99,4.53,Medium,0.8459915611814345,0.20360824742268044,0.8799999999999999
23,Male,Student,3.62,4.73,1.76,0.73,News,2.61,6.44,0.79,4.58,3.54,3.88,4.58,3.44,6.6,5.25,5.83,3.86,High,0.8870967741935483,0.26936218678815493,-0.5800000000000001
21,Female,Student,3.05,4.52,2.38,3.72,News,4.13,7.73,1.24,4.66,4.62,3.75,4.92,2.62,9.34,6.65,5.08,5.5,Medium,1.0698739977090492,0.27781192378610936,1.5700000000000003
24,Non-binary,Student,1.75,5.02,2.21,1.2,Gaming,4.29,6.82,1.84,6.42,5.79,3.57,7.82,3.18,5.31,5.4,3.11,5.07,Medium,0.6790281329923273,0.29220023282887075,2.2900000000000005
